Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sale_TestSuite,Firefox 68.0,,,2019-11-01 09:04:46,2019-11-01 09:12:24,7m - 37.846s,INCOMPLETE
,,,,,,,
Test Cases/FirstView/Sale/VPOS_Sale_Transaction_ECommerce_No_AdditionalPrompting,Firefox 68.0,,,2019-11-01 09:04:48,2019-11-01 09:06:03,1m - 14.906s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 68.0,,,2019-11-01 09:04:49,2019-11-01 09:04:49,0.204s,PASSED
"utilities.SafeActions.openBrowser(URL, [PageLoadTime])",Firefox 68.0,,,2019-11-01 09:04:51,2019-11-01 09:05:07,15.776s,PASSED
"pages.Login.login(uName, password)",Firefox 68.0,,,2019-11-01 09:05:07,2019-11-01 09:05:13,6.150s,PASSED
"callTestCase(findTestCase(""FirstView/Login/TC_SendCode""), [:], STOP_ON_FAILURE)",Firefox 68.0,,,2019-11-01 09:05:13,2019-11-01 09:05:17,3.830s,PASSED
"callTestCase(findTestCase(""FirstView/Login/TC_FirstView""), [:], STOP_ON_FAILURE)",Firefox 68.0,,,2019-11-01 09:05:17,2019-11-01 09:05:25,8.690s,PASSED
"switchToWindowTitle(""Transcenter - VPOS"")",Firefox 68.0,,,2019-11-01 09:05:25,2019-11-01 09:05:32,6.231s,PASSED
delay(delayForElement),Firefox 68.0,,,2019-11-01 09:05:32,2019-11-01 09:05:38,6.028s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(""Sale"", ""Manually Keyed"", delayBetweenTestSteps)",Firefox 68.0,,,2019-11-01 09:05:38,2019-11-01 09:05:38,0.119s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/input_Amount""), PageLoadTime)",Firefox 68.0,Scroll down to Element inputAmount,,2019-11-01 09:05:38,2019-11-01 09:05:38,0.135s,PASSED
"utilities.SafeActions.safeTypeUsingJavascript(findTestObject(""Pages/Sale/input_Amount""), amount)",Firefox 68.0,,,2019-11-01 09:05:38,2019-11-01 09:05:38,0.138s,PASSED
delay(2),Firefox 68.0,,,2019-11-01 09:05:38,2019-11-01 09:05:40,2.004s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_Amount""), amount, ""Amount field"", [delayForElement])",Firefox 68.0,,,2019-11-01 09:05:40,2019-11-01 09:05:41,1.539s,PASSED
"total_Amount = utilities.SafeActions.safeGetText(findTestObject(""Pages/Sale/total_Amount""), PageLoadTime)",Firefox 68.0,,,2019-11-01 09:05:41,2019-11-01 09:05:42,0.792s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/dropDown_ExpirationMonth""), PageLoadTime)",Firefox 68.0,,,2019-11-01 09:05:42,2019-11-01 09:05:42,0.079s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(""Sale"", ""Card Not Present"", delayBetweenTestSteps)",Firefox 68.0,,,2019-11-01 09:05:42,2019-11-01 09:05:42,0.019s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_CardNumber""), visaCardNumber, ""Entering Card Number"", [PageLoadTime])",Firefox 68.0,,,2019-11-01 09:05:42,2019-11-01 09:05:44,1.437s,PASSED
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_ExpirationMonth""), cardMonth, ""Enter Expiration Month"", [PageLoadTime])",Firefox 68.0,,,2019-11-01 09:05:44,2019-11-01 09:05:45,1.424s,PASSED
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_ExpirationYear""), cardYear, ""Enter Expiration Year"", [PageLoadTime])",Firefox 68.0,,,2019-11-01 09:05:45,2019-11-01 09:05:47,1.461s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/input_CustomerName""), PageLoadTime)",Firefox 68.0,,,2019-11-01 09:05:47,2019-11-01 09:05:47,0.079s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_CustomerName""), customerName, ""Enter Customer Name"", [PageLoadTime])",Firefox 68.0,,,2019-11-01 09:05:47,2019-11-01 09:05:48,1.161s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_Address""), address, ""Enter Address"", [PageLoadTime])",Firefox 68.0,,,2019-11-01 09:05:48,2019-11-01 09:05:49,1.010s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_PostalCode""), postalCode, ""Enter Postal Code"", [PageLoadTime])",Firefox 68.0,,,2019-11-01 09:05:49,2019-11-01 09:05:50,1.038s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/invoiceNumber""), PageLoadTime)",Firefox 68.0,,,2019-11-01 09:05:50,2019-11-01 09:05:50,0.086s,PASSED
"invoiceNumber = utilities.SafeActions.safeGetText(findTestObject(""Pages/Sale/invoiceNumber""), PageLoadTime)",Firefox 68.0,,,2019-11-01 09:05:50,2019-11-01 09:05:51,0.818s,PASSED
"utilities.SafeActions.safeClickwithScroll(findTestObject(""Pages/Sale/button_Checkout""), ""Click on Checkout button"", [PageLoadTime])",Firefox 68.0,,,2019-11-01 09:05:51,2019-11-01 09:05:52,1.068s,PASSED
"pages.Sale.verifyTransactionCompletePage(findTestObject(""Pages/Sale/heading_TransactionComplete""))",Firefox 68.0,,,2019-11-01 09:05:52,2019-11-01 09:05:53,1.162s,PASSED
"utilities.SafeActions.safeClickWithoutScroll(findTestObject(""Pages/Sale/button_ReturnToSale""), ""Click on Return To Sale"", [PageLoadTime])",Firefox 68.0,,,2019-11-01 09:05:53,2019-11-01 09:05:54,1.219s,PASSED
"utilities.SafeActions.safeClickWithoutScroll(findTestObject(""Pages/Transaction_Management/tab_TransactionManagement""), ""Transaction Management Tab"", [PageLoadTime])",Firefox 68.0,,,2019-11-01 09:05:54,2019-11-01 09:05:56,1.182s,PASSED
"utilities.SafeActions.safeClickwithScroll(findTestObject(""Pages/Transaction_Management/button_Search""), ""Search"", [PageLoadTime])",Firefox 68.0,,,2019-11-01 09:05:56,2019-11-01 09:05:57,1.090s,PASSED
"scrollToElement(findTestObject(""Pages/Transaction_Management/invoice_ForTransaction""), PageLoadTime)",Firefox 68.0,,,2019-11-01 09:05:57,2019-11-01 09:05:57,0.077s,PASSED
"pages.Transaction_Management.verifyInvoiceRecord(findTestObject(""Pages/Transaction_Management/footer_NextButton""), findTestObject(""Pages/Transaction_Management/page_Number""), invoiceNumber, total_Amount)",Firefox 68.0,,,2019-11-01 09:05:57,2019-11-01 09:05:59,2.618s,PASSED
closeBrowser(),Firefox 68.0,,,2019-11-01 09:05:59,2019-11-01 09:06:03,3.227s,PASSED
Start listener action : sampleAfterTestCase,Firefox 68.0,,,2019-11-01 09:06:03,2019-11-01 09:06:03,0.014s,PASSED
Start listener action : sampleAfterTestCase,Firefox 68.0,,,2019-11-01 09:06:03,2019-11-01 09:06:03,0.002s,PASSED
,,,,,,,
Test Cases/FirstView/Sale/VPOS_Sale_Transaction_Moto_No_AdditionalPrompting,Firefox 68.0,,,2019-11-01 09:06:03,2019-11-01 09:06:47,44.730s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 68.0,,,2019-11-01 09:06:03,2019-11-01 09:06:03,0.001s,PASSED
"utilities.SafeActions.openBrowser(URL, [PageLoadTime])",Firefox 68.0,,,2019-11-01 09:06:03,2019-11-01 09:06:11,8.142s,PASSED
"pages.Login.login(uName, password)",Firefox 68.0,,,2019-11-01 09:06:11,2019-11-01 09:06:16,4.532s,PASSED
"callTestCase(findTestCase(""FirstView/Login/TC_SendCode""), [:], STOP_ON_FAILURE)",Firefox 68.0,,,2019-11-01 09:06:16,2019-11-01 09:06:18,2.326s,PASSED
"utilities.SafeActions.javascriptclick(findTestObject(""Pages/FirstView/link_Home""), delayForElement)",Firefox 68.0,,,2019-11-01 09:06:18,2019-11-01 09:06:18,0.125s,PASSED
