Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sale_TestSuite,Firefox 70.0,,,2019-11-04 07:24:36,2019-11-04 07:33:02,8m - 26.180s,INCOMPLETE
,,,,,,,
Test Cases/FirstView/Sale/VPOS_Sale_Transaction_ECommerce_No_AdditionalPrompting,Firefox 70.0,,,2019-11-04 07:24:40,2019-11-04 07:26:24,1m - 44.023s,FAILED
Start listener action : sampleBeforeTestCase,Firefox 70.0,,,2019-11-04 07:24:41,2019-11-04 07:24:42,0.254s,PASSED
"utilities.SafeActions.openBrowser(URL, [PageLoadTime])",Firefox 70.0,,,2019-11-04 07:24:44,2019-11-04 07:25:26,42.366s,PASSED
"pages.Login.login(uName, password)",Firefox 70.0,,,2019-11-04 07:25:26,2019-11-04 07:25:32,6.505s,PASSED
"callTestCase(findTestCase(""FirstView/Login/TC_SendCode""), [:], STOP_ON_FAILURE)",Firefox 70.0,,,2019-11-04 07:25:32,2019-11-04 07:25:38,6.088s,PASSED
"callTestCase(findTestCase(""FirstView/Login/TC_FirstView""), [:], STOP_ON_FAILURE)",Firefox 70.0,,,2019-11-04 07:25:38,2019-11-04 07:25:47,8.083s,PASSED
"switchToWindowTitle(""Transcenter - VPOS"")",Firefox 70.0,,,2019-11-04 07:25:47,2019-11-04 07:25:51,4.634s,PASSED
delay(delayForElement),Firefox 70.0,,,2019-11-04 07:25:51,2019-11-04 07:25:57,6.005s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(""Sale"", ""Manually Keyed"", delayBetweenTestSteps)",Firefox 70.0,,,2019-11-04 07:25:57,2019-11-04 07:26:24,26.591s,FAILED
Start listener action : sampleAfterTestCase,Firefox 70.0,,,2019-11-04 07:26:24,2019-11-04 07:26:24,0.010s,PASSED
Start listener action : sampleAfterTestCase,Firefox 70.0,,,2019-11-04 07:26:24,2019-11-04 07:26:24,0.002s,PASSED
,,,,,,,
Test Cases/FirstView/Sale/VPOS_Sale_Transaction_Moto_No_AdditionalPrompting,Firefox 70.0,,,2019-11-04 07:26:24,2019-11-04 07:26:28,3.834s,FAILED
Start listener action : sampleBeforeTestCase,Firefox 70.0,,,2019-11-04 07:26:24,2019-11-04 07:26:24,0.002s,PASSED
"utilities.SafeActions.openBrowser(URL, [PageLoadTime])",Firefox 70.0,,,2019-11-04 07:26:25,2019-11-04 07:26:26,0.659s,FAILED
"pages.Login.login(uName, password)",Firefox 70.0,,,2019-11-04 07:26:26,2019-11-04 07:26:27,0.981s,ERROR
"callTestCase(findTestCase(""FirstView/Login/TC_SendCode""), [:], STOP_ON_FAILURE)",Firefox 70.0,,,2019-11-04 07:26:27,2019-11-04 07:26:28,0.495s,FAILED
Start listener action : sampleAfterTestCase,Firefox 70.0,,,2019-11-04 07:26:28,2019-11-04 07:26:28,0.010s,PASSED
Start listener action : sampleAfterTestCase,Firefox 70.0,,,2019-11-04 07:26:28,2019-11-04 07:26:28,0.001s,PASSED
,,,,,,,
Test Cases/FirstView/Sale/VPOS_Sale_Transaction_Retail_No_AdditionalPrompting,Firefox 70.0,,,2019-11-04 07:26:28,2019-11-04 07:27:35,1m - 7.760s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 70.0,,,2019-11-04 07:26:28,2019-11-04 07:26:28,0.003s,PASSED
"utilities.SafeActions.openBrowser(URL, [delayForElement])",Firefox 70.0,,,2019-11-04 07:26:29,2019-11-04 07:26:42,12.157s,PASSED
"pages.Login.login(uName, password)",Firefox 70.0,,,2019-11-04 07:26:42,2019-11-04 07:26:46,4.341s,PASSED
"callTestCase(findTestCase(""FirstView/Login/TC_SendCode""), [:], STOP_ON_FAILURE)",Firefox 70.0,,,2019-11-04 07:26:46,2019-11-04 07:26:48,1.976s,PASSED
"callTestCase(findTestCase(""FirstView/Login/TC_FirstView""), [:], STOP_ON_FAILURE)",Firefox 70.0,,,2019-11-04 07:26:48,2019-11-04 07:26:53,4.856s,PASSED
"switchToWindowTitle(""Transcenter - VPOS"")",Firefox 70.0,,,2019-11-04 07:26:53,2019-11-04 07:26:57,4.743s,PASSED
delay(delayForElement),Firefox 70.0,,,2019-11-04 07:26:57,2019-11-04 07:27:03,6.014s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(tabName, entryModeCheckBox, delayBetweenTestSteps)",Firefox 70.0,,,2019-11-04 07:27:03,2019-11-04 07:27:04,0.069s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/input_Amount""), delayBetweenTestSteps)",Firefox 70.0,Scroll down to Element inputAmount,,2019-11-04 07:27:04,2019-11-04 07:27:04,0.161s,PASSED
"utilities.SafeActions.safeTypeUsingJavascript(findTestObject(""Pages/Sale/input_Amount""), amountInput)",Firefox 70.0,,,2019-11-04 07:27:04,2019-11-04 07:27:04,0.134s,PASSED
delay(2),Firefox 70.0,,,2019-11-04 07:27:04,2019-11-04 07:27:06,2.012s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_Amount""), amountInput, ""Amount field"", [delayForElement])",Firefox 70.0,,,2019-11-04 07:27:06,2019-11-04 07:27:07,1.031s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/dropDown_ExpirationMonth""), delayBetweenTestSteps)",Firefox 70.0,,,2019-11-04 07:27:07,2019-11-04 07:27:07,0.135s,PASSED
"total_Amount = utilities.SafeActions.safeGetText(findTestObject(""Pages/Sale/total_Amount""), delayBetweenTestSteps)",Firefox 70.0,,,2019-11-04 07:27:07,2019-11-04 07:27:08,0.759s,PASSED
println(total_Amount),Firefox 70.0,,,2019-11-04 07:27:08,2019-11-04 07:27:08,0.004s,PASSED
