Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sale_TestSuite,Firefox 68.0,,,2019-11-01 08:06:53,2019-11-01 08:16:51,9m - 57.407s,INCOMPLETE
,,,,,,,
Test Cases/FirstView/Sale/VPOS_Sale_Transaction_ECommerce_No_AdditionalPrompting,Firefox 68.0,,,2019-11-01 08:06:59,2019-11-01 08:08:26,1m - 27.858s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 68.0,,,2019-11-01 08:07:00,2019-11-01 08:07:00,0.228s,PASSED
"utilities.SafeActions.openBrowser(URL, [PageLoadTime])",Firefox 68.0,,,2019-11-01 08:07:02,2019-11-01 08:07:28,25.946s,PASSED
"pages.Login.login(uName, password)",Firefox 68.0,,,2019-11-01 08:07:28,2019-11-01 08:07:34,5.944s,PASSED
"callTestCase(findTestCase(""FirstView/Login/TC_SendCode""), [:], STOP_ON_FAILURE)",Firefox 68.0,,,2019-11-01 08:07:34,2019-11-01 08:07:37,3.651s,PASSED
"callTestCase(findTestCase(""FirstView/Login/TC_FirstView""), [:], STOP_ON_FAILURE)",Firefox 68.0,,,2019-11-01 08:07:37,2019-11-01 08:07:45,7.667s,PASSED
"switchToWindowTitle(""Transcenter - VPOS"")",Firefox 68.0,,,2019-11-01 08:07:45,2019-11-01 08:07:49,3.808s,PASSED
delay(delayForElement),Firefox 68.0,,,2019-11-01 08:07:49,2019-11-01 08:07:55,6.014s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(""Sale"", ""Manually Keyed"", delayBetweenTestSteps)",Firefox 68.0,,,2019-11-01 08:07:55,2019-11-01 08:07:55,0.374s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/input_Amount""), PageLoadTime)",Firefox 68.0,Scroll down to Element inputAmount,,2019-11-01 08:07:55,2019-11-01 08:07:56,0.274s,PASSED
"utilities.SafeActions.safeTypeUsingJavascript(findTestObject(""Pages/Sale/input_Amount""), amount)",Firefox 68.0,,,2019-11-01 08:07:56,2019-11-01 08:07:56,0.244s,PASSED
delay(2),Firefox 68.0,,,2019-11-01 08:07:56,2019-11-01 08:07:58,2.008s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_Amount""), amount, ""Amount field"", [delayForElement])",Firefox 68.0,,,2019-11-01 08:07:58,2019-11-01 08:07:59,1.288s,PASSED
"total_Amount = utilities.SafeActions.safeGetText(findTestObject(""Pages/Sale/total_Amount""), PageLoadTime)",Firefox 68.0,,,2019-11-01 08:07:59,2019-11-01 08:08:00,0.962s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/dropDown_ExpirationMonth""), PageLoadTime)",Firefox 68.0,,,2019-11-01 08:08:00,2019-11-01 08:08:01,0.487s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(""Sale"", ""Card Not Present"", delayBetweenTestSteps)",Firefox 68.0,,,2019-11-01 08:08:01,2019-11-01 08:08:01,0.270s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_CardNumber""), visaCardNumber, ""Entering Card Number"", [PageLoadTime])",Firefox 68.0,,,2019-11-01 08:08:01,2019-11-01 08:08:04,2.852s,PASSED
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_ExpirationMonth""), cardMonth, ""Enter Expiration Month"", [PageLoadTime])",Firefox 68.0,,,2019-11-01 08:08:04,2019-11-01 08:08:05,1.511s,PASSED
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_ExpirationYear""), cardYear, ""Enter Expiration Year"", [PageLoadTime])",Firefox 68.0,,,2019-11-01 08:08:05,2019-11-01 08:08:07,1.471s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/input_CustomerName""), PageLoadTime)",Firefox 68.0,,,2019-11-01 08:08:07,2019-11-01 08:08:07,0.089s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_CustomerName""), customerName, ""Enter Customer Name"", [PageLoadTime])",Firefox 68.0,,,2019-11-01 08:08:07,2019-11-01 08:08:08,1.621s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_Address""), address, ""Enter Address"", [PageLoadTime])",Firefox 68.0,,,2019-11-01 08:08:08,2019-11-01 08:08:09,1.091s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_PostalCode""), postalCode, ""Enter Postal Code"", [PageLoadTime])",Firefox 68.0,,,2019-11-01 08:08:09,2019-11-01 08:08:11,1.211s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/invoiceNumber""), PageLoadTime)",Firefox 68.0,,,2019-11-01 08:08:11,2019-11-01 08:08:11,0.139s,PASSED
"invoiceNumber = utilities.SafeActions.safeGetText(findTestObject(""Pages/Sale/invoiceNumber""), PageLoadTime)",Firefox 68.0,,,2019-11-01 08:08:11,2019-11-01 08:08:12,0.688s,PASSED
"utilities.SafeActions.safeClickwithScroll(findTestObject(""Pages/Sale/button_Checkout""), ""Click on Checkout button"", [PageLoadTime])",Firefox 68.0,,,2019-11-01 08:08:12,2019-11-01 08:08:13,1.609s,PASSED
"pages.Sale.verifyTransactionCompletePage(findTestObject(""Pages/Sale/heading_TransactionComplete""))",Firefox 68.0,,,2019-11-01 08:08:13,2019-11-01 08:08:15,1.522s,PASSED
"utilities.SafeActions.safeClickWithoutScroll(findTestObject(""Pages/Sale/button_ReturnToSale""), ""Click on Return To Sale"", [PageLoadTime])",Firefox 68.0,,,2019-11-01 08:08:15,2019-11-01 08:08:17,1.882s,PASSED
"utilities.SafeActions.safeClickWithoutScroll(findTestObject(""Pages/Transaction_Management/tab_TransactionManagement""), ""Transaction Management Tab"", [PageLoadTime])",Firefox 68.0,,,2019-11-01 08:08:17,2019-11-01 08:08:19,2.230s,PASSED
"utilities.SafeActions.safeClickwithScroll(findTestObject(""Pages/Transaction_Management/button_Search""), ""Search"", [PageLoadTime])",Firefox 68.0,,,2019-11-01 08:08:19,2019-11-01 08:08:21,2.295s,PASSED
"scrollToElement(findTestObject(""Pages/Transaction_Management/invoice_ForTransaction""), PageLoadTime)",Firefox 68.0,,,2019-11-01 08:08:21,2019-11-01 08:08:21,0.073s,PASSED
"pages.Transaction_Management.verifyInvoiceRecord(findTestObject(""Pages/Transaction_Management/footer_NextButton""), findTestObject(""Pages/Transaction_Management/page_Number""), invoiceNumber, total_Amount)",Firefox 68.0,,,2019-11-01 08:08:21,2019-11-01 08:08:24,2.421s,PASSED
closeBrowser(),Firefox 68.0,,,2019-11-01 08:08:24,2019-11-01 08:08:26,2.901s,PASSED
Start listener action : sampleAfterTestCase,Firefox 68.0,,,2019-11-01 08:08:26,2019-11-01 08:08:26,0.006s,PASSED
Start listener action : sampleAfterTestCase,Firefox 68.0,,,2019-11-01 08:08:26,2019-11-01 08:08:26,0.002s,PASSED
,,,,,,,
Test Cases/FirstView/Sale/VPOS_Sale_Transaction_Moto_No_AdditionalPrompting,Firefox 68.0,,,2019-11-01 08:08:26,2019-11-01 08:09:47,1m - 20.209s,PASSED
