Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Refund_TestSuite,Firefox 70.0,,,2019-11-04 05:38:51,2019-11-04 05:40:21,1m - 30.469s,INCOMPLETE
,,,,,,,
Test Cases/FirstView/Refund/TC_Refund_001,Firefox 70.0,,,2019-11-04 05:38:53,2019-11-04 05:40:21,1m - 28.488s,ERROR
Start listener action : sampleBeforeTestCase,Firefox 70.0,,,2019-11-04 05:38:54,2019-11-04 05:38:54,0.010s,PASSED
"utilities.SafeActions.openBrowser(URL, [delayForElement])",Firefox 70.0,,,2019-11-04 05:38:55,2019-11-04 05:39:43,48.350s,PASSED
"pages.Login.login(uName, password)",Firefox 70.0,,,2019-11-04 05:39:43,2019-11-04 05:39:52,9.049s,PASSED
"callTestCase(findTestCase(""FirstView/Login/TC_SendCode""), [:], STOP_ON_FAILURE)",Firefox 70.0,,,2019-11-04 05:39:52,2019-11-04 05:39:58,5.701s,PASSED
"callTestCase(findTestCase(""FirstView/Login/TC_FirstView""), [:], STOP_ON_FAILURE)",Firefox 70.0,,,2019-11-04 05:39:58,2019-11-04 05:40:08,10.423s,PASSED
"switchToWindowTitle(""Transcenter - VPOS"")",Firefox 70.0,,,2019-11-04 05:40:08,2019-11-04 05:40:11,2.704s,PASSED
delay(delayForElement),Firefox 70.0,,,2019-11-04 05:40:11,2019-11-04 05:40:17,6.013s,PASSED
"utilities.SafeActions.javascriptclick(findTestObject(""Pages/ForceTransactions/tab_ForceTransactions""), PageLoadTime)",Firefox 70.0,,,2019-11-04 05:40:17,2019-11-04 05:40:21,4.055s,ERROR
Start listener action : sampleAfterTestCase,Firefox 70.0,,,2019-11-04 05:40:21,2019-11-04 05:40:21,0.081s,ERROR
Start listener action : sampleAfterTestCase,Firefox 70.0,,,2019-11-04 05:40:21,2019-11-04 05:40:21,0.002s,PASSED
