Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sale_TestSuite,Firefox 70.0,,,2019-11-04 06:01:56,2019-11-04 06:09:20,7m - 24.363s,INCOMPLETE
,,,,,,,
Test Cases/FirstView/Sale/VPOS_Sale_Transaction_ECommerce_No_AdditionalPrompting,Firefox 70.0,,,2019-11-04 06:01:57,2019-11-04 06:02:55,58.332s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 70.0,,,2019-11-04 06:01:57,2019-11-04 06:01:58,0.111s,PASSED
"utilities.SafeActions.openBrowser(URL, [PageLoadTime])",Firefox 70.0,,,2019-11-04 06:01:58,2019-11-04 06:02:07,9.309s,PASSED
"pages.Login.login(uName, password)",Firefox 70.0,,,2019-11-04 06:02:07,2019-11-04 06:02:12,4.753s,PASSED
"callTestCase(findTestCase(""FirstView/Login/TC_SendCode""), [:], STOP_ON_FAILURE)",Firefox 70.0,,,2019-11-04 06:02:12,2019-11-04 06:02:15,2.528s,PASSED
"callTestCase(findTestCase(""FirstView/Login/TC_FirstView""), [:], STOP_ON_FAILURE)",Firefox 70.0,,,2019-11-04 06:02:15,2019-11-04 06:02:21,6.122s,PASSED
"switchToWindowTitle(""Transcenter - VPOS"")",Firefox 70.0,,,2019-11-04 06:02:21,2019-11-04 06:02:25,3.749s,PASSED
delay(delayForElement),Firefox 70.0,,,2019-11-04 06:02:25,2019-11-04 06:02:31,6.014s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(""Sale"", ""Manually Keyed"", delayBetweenTestSteps)",Firefox 70.0,,,2019-11-04 06:02:31,2019-11-04 06:02:31,0.128s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/input_Amount""), PageLoadTime)",Firefox 70.0,Scroll down to Element inputAmount,,2019-11-04 06:02:31,2019-11-04 06:02:31,0.204s,PASSED
"utilities.SafeActions.safeTypeUsingJavascript(findTestObject(""Pages/Sale/input_Amount""), amount)",Firefox 70.0,,,2019-11-04 06:02:31,2019-11-04 06:02:31,0.117s,PASSED
delay(2),Firefox 70.0,,,2019-11-04 06:02:31,2019-11-04 06:02:33,2.005s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_Amount""), amount, ""Amount field"", [delayForElement])",Firefox 70.0,,,2019-11-04 06:02:33,2019-11-04 06:02:34,1.210s,PASSED
"total_Amount = utilities.SafeActions.safeGetText(findTestObject(""Pages/Sale/total_Amount""), PageLoadTime)",Firefox 70.0,,,2019-11-04 06:02:34,2019-11-04 06:02:35,0.862s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/dropDown_ExpirationMonth""), PageLoadTime)",Firefox 70.0,,,2019-11-04 06:02:35,2019-11-04 06:02:35,0.090s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(""Sale"", ""Card Not Present"", delayBetweenTestSteps)",Firefox 70.0,,,2019-11-04 06:02:35,2019-11-04 06:02:35,0.024s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_CardNumber""), visaCardNumber, ""Entering Card Number"", [PageLoadTime])",Firefox 70.0,,,2019-11-04 06:02:35,2019-11-04 06:02:37,1.317s,PASSED
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_ExpirationMonth""), cardMonth, ""Enter Expiration Month"", [PageLoadTime])",Firefox 70.0,,,2019-11-04 06:02:37,2019-11-04 06:02:38,1.392s,PASSED
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_ExpirationYear""), cardYear, ""Enter Expiration Year"", [PageLoadTime])",Firefox 70.0,,,2019-11-04 06:02:38,2019-11-04 06:02:39,1.321s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/input_CustomerName""), PageLoadTime)",Firefox 70.0,,,2019-11-04 06:02:39,2019-11-04 06:02:39,0.114s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_CustomerName""), customerName, ""Enter Customer Name"", [PageLoadTime])",Firefox 70.0,,,2019-11-04 06:02:39,2019-11-04 06:02:41,1.185s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_Address""), address, ""Enter Address"", [PageLoadTime])",Firefox 70.0,,,2019-11-04 06:02:41,2019-11-04 06:02:42,1.028s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_PostalCode""), postalCode, ""Enter Postal Code"", [PageLoadTime])",Firefox 70.0,,,2019-11-04 06:02:42,2019-11-04 06:02:43,1.070s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/invoiceNumber""), PageLoadTime)",Firefox 70.0,,,2019-11-04 06:02:43,2019-11-04 06:02:43,0.140s,PASSED
"invoiceNumber = utilities.SafeActions.safeGetText(findTestObject(""Pages/Sale/invoiceNumber""), PageLoadTime)",Firefox 70.0,,,2019-11-04 06:02:43,2019-11-04 06:02:44,0.986s,PASSED
"utilities.SafeActions.safeClickwithScroll(findTestObject(""Pages/Sale/button_Checkout""), ""Click on Checkout button"", [PageLoadTime])",Firefox 70.0,,,2019-11-04 06:02:44,2019-11-04 06:02:45,1.166s,PASSED
"pages.Sale.verifyTransactionCompletePage(findTestObject(""Pages/Sale/heading_TransactionComplete""))",Firefox 70.0,,,2019-11-04 06:02:45,2019-11-04 06:02:46,1.238s,PASSED
"transactionCompleteMessage = utilities.SafeActions.safeGetText(findTestObject(""Pages/ForceTransactions/approved_TransactionMessage_TransactionComplete_Screen""), delayForElement)",Firefox 70.0,,,2019-11-04 06:02:46,2019-11-04 06:02:47,0.732s,PASSED
println(transactionCompleteMessage),Firefox 70.0,,,2019-11-04 06:02:47,2019-11-04 06:02:47,0.000s,PASSED
pages.Force_Transaction.verifyStrings(transactionCompleteMessage),Firefox 70.0,,,2019-11-04 06:02:47,2019-11-04 06:02:47,0.010s,PASSED
"utilities.SafeActions.safeClickWithoutScroll(findTestObject(""Pages/Sale/button_ReturnToSale""), ""Click on Return To Sale"", [PageLoadTime])",Firefox 70.0,,,2019-11-04 06:02:47,2019-11-04 06:02:48,1.202s,PASSED
"utilities.SafeActions.safeClickWithoutScroll(findTestObject(""Pages/Transaction_Management/tab_TransactionManagement""), ""Transaction Management Tab"", [PageLoadTime])",Firefox 70.0,,,2019-11-04 06:02:48,2019-11-04 06:02:49,1.044s,PASSED
"utilities.SafeActions.safeClickwithScroll(findTestObject(""Pages/Transaction_Management/button_Search""), ""Search"", [PageLoadTime])",Firefox 70.0,,,2019-11-04 06:02:49,2019-11-04 06:02:50,1.115s,PASSED
"scrollToElement(findTestObject(""Pages/Transaction_Management/invoice_ForTransaction""), PageLoadTime)",Firefox 70.0,,,2019-11-04 06:02:50,2019-11-04 06:02:50,0.093s,PASSED
"pages.Transaction_Management.verifyInvoiceRecord(findTestObject(""Pages/Transaction_Management/footer_NextButton""), findTestObject(""Pages/Transaction_Management/page_Number""), invoiceNumber, total_Amount)",Firefox 70.0,,,2019-11-04 06:02:50,2019-11-04 06:02:53,2.381s,PASSED
closeBrowser(),Firefox 70.0,,,2019-11-04 06:02:53,2019-11-04 06:02:55,2.044s,PASSED
Start listener action : sampleAfterTestCase,Firefox 70.0,,,2019-11-04 06:02:55,2019-11-04 06:02:55,0.012s,PASSED
Start listener action : sampleAfterTestCase,Firefox 70.0,,,2019-11-04 06:02:55,2019-11-04 06:02:55,0.000s,PASSED
,,,,,,,
Test Cases/FirstView/Sale/VPOS_Sale_Transaction_Moto_No_AdditionalPrompting,Firefox 70.0,,,2019-11-04 06:02:55,2019-11-04 06:03:40,44.990s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 70.0,,,2019-11-04 06:02:56,2019-11-04 06:02:56,0.000s,PASSED
"utilities.SafeActions.openBrowser(URL, [PageLoadTime])",Firefox 70.0,,,2019-11-04 06:02:56,2019-11-04 06:03:04,7.656s,PASSED
"pages.Login.login(uName, password)",Firefox 70.0,,,2019-11-04 06:03:04,2019-11-04 06:03:08,4.559s,PASSED
"callTestCase(findTestCase(""FirstView/Login/TC_SendCode""), [:], STOP_ON_FAILURE)",Firefox 70.0,,,2019-11-04 06:03:08,2019-11-04 06:03:11,2.409s,PASSED
"utilities.SafeActions.javascriptclick(findTestObject(""Pages/FirstView/link_Home""), delayForElement)",Firefox 70.0,,,2019-11-04 06:03:11,2019-11-04 06:03:11,0.093s,PASSED
"switchToWindowTitle(""Transcenter - VPOS"")",Firefox 70.0,,,2019-11-04 06:03:11,2019-11-04 06:03:13,2.425s,PASSED
delay(delayForElement),Firefox 70.0,,,2019-11-04 06:03:13,2019-11-04 06:03:19,6.003s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(""Sale"", ""Manually Keyed"", delayBetweenTestSteps)",Firefox 70.0,,,2019-11-04 06:03:19,2019-11-04 06:03:19,0.027s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/input_Amount""), PageLoadTime)",Firefox 70.0,Scroll down to Element inputAmount,,2019-11-04 06:03:19,2019-11-04 06:03:20,0.106s,PASSED
"utilities.SafeActions.safeTypeUsingJavascript(findTestObject(""Pages/Sale/input_Amount""), amount)",Firefox 70.0,,,2019-11-04 06:03:20,2019-11-04 06:03:20,0.126s,PASSED
delay(2),Firefox 70.0,,,2019-11-04 06:03:20,2019-11-04 06:03:22,2.002s,PASSED
